date,Apple stock,Buy AAPL ,Sell Apple,Apple debt,Apple credit
2021-01-01,0,0,0,0,0
2021-01-02,0,0,0,0,0
2021-01-03,0,0,0,0,0
2021-01-04,32,0,0,0,0
2021-01-05,64,0,0,0,0
2021-01-06,33,0,0,0,0
2021-01-07,33,0,0,0,0
2021-01-08,34,0,0,0,0
2021-01-09,0,0,0,0,0
2021-01-10,0,0,0,0,0
2021-01-11,0,0,0,0,0
2021-01-12,100,0,0,0,0
2021-01-13,67,0,0,0,0
2021-01-14,68,0,0,0,0
2020-05-01,0,0,0,0,0
2020-05-02,16,0,0,0,0
2020-05-03,16,0,0,0,0
2020-05-04,0,0,0,0,0
2020-05-05,0,0,0,0,0
2020-05-06,29,0,0,0,0
2020-05-07,0,0,0,0,0
2020-05-08,15,0,0,0,0
2020-05-09,0,0,0,0,0
2020-05-10,0,0,0,0,0
2020-05-11,44,0,0,0,0
2020-05-12,15,0,0,0,0
2020-05-13,30,0,0,0,0
2020-05-14,0,0,0,0,0
2020-05-15,0,0,0,0,0
2020-05-16,0,0,0,0,0
2020-05-17,0,0,0,0,0
2020-05-18,15,0,0,0,0
2020-05-19,73,0,0,0,0
2020-05-20,15,0,0,0,0
2020-05-21,0,0,0,0,0
2020-05-22,0,0,0,0,0
2020-05-23,0,0,0,0,0
2020-05-24,0,0,0,0,0
2020-05-25,14,0,0,0,0
2020-05-26,0,0,0,0,0
2020-05-27,14,0,0,0,0
2020-05-28,0,0,0,0,0
2020-05-29,0,0,0,0,0
2020-05-30,0,0,0,0,0
2020-05-31,0,0,0,0,0
2020-06-01,14,0,0,0,0
2020-06-02,15,0,0,0,0
2020-06-03,14,0,0,0,0
2020-06-04,14,0,0,0,0
2020-06-05,42,0,0,0,0
2020-06-06,15,0,0,0,0
2020-06-07,0,0,0,0,0
2020-06-08,0,0,0,0,0
2020-06-09,67,0,0,0,0
2020-06-10,42,0,0,0,0
2020-06-11,58,0,0,0,0
2020-06-12,29,0,0,0,0
2020-06-13,16,0,0,0,0
2020-06-14,0,0,0,0,0
2020-06-15,43,0,0,0,0
2020-06-16,29,0,0,0,0
2020-06-17,58,0,0,0,0
2020-06-18,15,0,0,0,0
2020-06-19,0,0,0,0,0
2020-06-20,0,0,0,0,0
2020-06-21,0,0,0,0,0
2020-06-22,29,0,0,0,0
2020-06-23,30,0,0,0,0
2020-06-24,46,0,0,0,0
2020-06-25,50,0,0,0,0
2020-06-26,16,0,0,0,0
2020-06-27,0,0,0,0,0
2020-06-28,0,0,0,0,0
2020-06-29,59,0,0,0,15
2020-06-30,15,0,0,0,0
2020-07-01,15,0,0,0,0
2020-07-02,44,0,0,0,0
2020-07-03,15,0,0,0,0
2020-07-04,0,0,0,0,0
2020-07-05,0,0,0,0,0
2020-07-06,15,0,0,0,0
2020-07-07,29,0,0,0,0
2020-07-08,15,0,0,0,0
2020-07-09,15,0,0,0,0
2020-07-10,30,0,0,0,0
2020-07-11,17,0,0,0,0
2020-07-12,0,0,0,0,0
2020-07-13,15,0,0,0,0
2020-07-14,44,0,0,0,0
2020-07-15,44,0,0,0,0
2020-07-16,0,0,0,0,0
2020-07-17,15,0,0,0,0
2020-07-18,0,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,14,0,0,0,0
2020-07-21,15,0,0,0,0
2020-07-22,15,0,0,0,0
2020-07-23,15,0,0,0,0
2020-07-24,0,0,0,0,0
2020-07-25,0,0,0,0,0
2020-07-26,0,0,0,0,0
2020-07-27,14,0,0,0,0
2020-07-28,0,0,0,0,0
2020-07-29,29,0,0,0,0
2020-07-30,0,0,0,0,0
2020-07-31,60,0,0,0,0
2020-08-01,0,0,0,0,0
2020-08-02,0,0,0,0,0
2020-08-03,60,0,0,0,0
2020-08-04,45,0,0,0,15
2020-08-05,30,0,0,0,0
2020-08-06,60,0,0,0,0
2020-08-07,0,0,0,0,0
2020-08-08,0,0,0,0,0
2020-08-09,0,0,0,0,0
2020-08-10,15,0,0,0,0
2020-08-11,29,0,0,0,0
2020-08-12,45,0,0,0,0
2020-08-13,45,0,0,0,0
2020-08-14,15,0,0,0,0
2020-08-15,0,0,0,0,0
2020-08-16,17,0,0,0,0
2020-08-17,15,0,0,0,0
2020-08-18,15,0,0,0,0
2020-08-19,0,0,0,0,0
2020-08-20,46,0,0,0,0
2020-08-21,46,0,0,0,0
2020-08-22,49,0,0,0,0
2020-08-23,0,0,0,0,0
2020-08-24,60,0,0,0,0
2020-08-25,60,0,0,0,0
2020-08-26,76,0,0,0,0
2020-08-27,0,0,0,0,0
2020-08-28,15,0,0,0,0
2020-08-29,0,0,0,0,0
2020-08-30,0,0,0,0,0
2020-08-31,30,0,0,0,0
2020-09-01,47,0,0,0,0
2020-09-02,48,0,0,0,0
2020-09-03,31,0,0,0,0
2020-09-04,62,0,0,0,0
2020-09-05,0,0,0,0,0
2020-09-06,0,0,0,0,0
2020-09-07,31,0,0,0,0
2020-09-08,15,0,0,0,0
2020-09-09,76,0,0,0,0
2020-09-10,46,0,0,0,0
2020-09-11,15,0,0,0,15
2020-09-12,16,0,0,0,0
2020-09-13,17,0,0,0,0
2020-09-14,77,0,0,0,15
2020-09-15,76,0,0,0,0
2020-09-16,29,0,0,0,0
2020-09-17,15,0,0,0,0
2020-09-18,15,0,0,0,0
2020-09-19,50,0,0,0,0
2020-09-20,0,0,0,0,0
2020-09-21,61,0,0,0,0
2020-09-22,31,0,0,0,0
2020-09-23,0,0,0,0,0
2020-09-24,47,0,0,0,0
2020-09-25,48,0,0,0,0
2020-09-26,0,0,0,0,0
2020-09-27,0,0,0,0,0
2020-09-28,16,0,0,0,0
2020-09-29,0,0,0,0,0
2020-09-30,0,0,0,0,0
2020-10-01,0,0,0,0,0
2020-10-02,54,0,0,0,0
2020-10-03,18,0,0,0,0
2020-10-04,0,0,0,0,17
2020-10-05,31,0,0,0,0
2020-10-06,16,0,0,0,0
2020-10-07,31,0,0,0,0
2020-10-08,48,0,0,0,0
2020-10-09,0,0,0,0,0
2020-10-10,0,0,0,0,0
2020-10-11,0,0,0,0,0
2020-10-12,49,0,0,0,0
2020-10-13,64,0,0,0,0
2020-10-14,96,0,0,0,0
2020-10-15,67,0,0,0,0
2020-10-16,99,0,0,0,0
2020-10-17,18,0,0,0,0
2020-10-18,36,0,0,0,0
2020-10-19,17,0,0,0,0
2020-10-20,100,0,0,0,0
2020-10-21,16,0,0,0,0
2020-10-22,34,0,0,0,0
2020-10-23,51,0,0,0,0
2020-10-24,0,0,0,0,0
2020-10-25,0,0,0,0,0
2020-10-26,0,0,0,0,0
2020-10-27,34,0,0,0,0
2020-10-28,33,0,0,0,0
2020-10-29,83,0,0,0,0
2020-10-30,34,0,0,0,0
2020-10-31,18,0,0,0,0
2020-11-01,0,0,0,0,0
2020-11-02,0,0,0,0,0
2020-11-03,33,0,0,0,0
2020-11-04,0,0,0,0,0
2020-11-05,15,0,0,0,0
2020-11-06,0,0,0,0,0
2020-11-07,34,0,0,0,0
2020-11-08,0,0,0,0,0
2020-11-09,16,0,0,0,0
2020-11-10,32,0,0,0,0
2020-11-11,0,0,0,0,0
2020-11-12,50,0,0,0,0
2020-11-13,17,0,0,0,0
2020-11-14,0,0,0,0,0
2020-11-15,0,0,0,0,0
2020-11-16,16,0,0,0,0
2020-11-17,50,0,0,0,0
2020-11-18,17,0,0,0,0
2020-11-19,17,0,0,0,0
2020-11-20,0,0,0,0,0
2020-11-21,35,0,0,0,0
2020-11-22,0,0,0,0,0
2020-11-23,33,0,0,0,0
2020-11-24,33,0,0,0,0
2020-11-25,33,0,0,0,0
2020-11-26,34,0,0,0,0
2020-11-27,0,0,0,0,0
2020-11-28,18,0,0,0,0
2020-11-29,0,0,0,0,0
2020-11-30,17,0,0,0,0
2020-12-01,69,0,0,0,0
2020-12-02,51,0,0,0,0
2020-12-03,35,0,0,0,0
2020-12-04,17,0,0,0,0
2020-12-05,0,0,0,0,0
2020-12-06,0,0,0,0,0
2020-12-07,33,0,0,0,0
2020-12-08,50,0,0,0,0
2020-12-09,17,0,0,0,0
2020-12-10,33,0,0,0,0
2020-12-11,34,0,0,0,0
2020-12-12,0,0,0,0,0
2020-12-13,18,0,0,0,0
2020-12-14,49,0,0,0,0
2020-12-15,34,0,0,0,0
2020-12-16,35,0,0,0,0
2020-12-17,68,0,0,0,0
2020-12-18,53,0,0,0,18
2020-12-19,19,0,0,0,0
2020-12-20,0,0,0,0,0
2020-12-21,0,0,0,0,0
2020-12-22,34,0,0,0,0
2020-12-23,68,0,0,0,0
2020-12-24,0,0,0,0,0
2020-12-25,0,0,0,0,0
2020-12-26,0,0,0,0,0
2020-12-27,17,0,0,0,17
2020-12-28,17,0,0,0,0
2020-12-29,50,0,0,0,0
2020-12-30,18,0,0,0,0
2020-12-31,36,0,0,0,0
2021-01-01,20,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,26,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,28
2020-01-06,79,0,0,0,0
2020-01-07,27,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,74,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,27,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,61,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,28,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,32,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,32,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,30,0,0,0,0
2020-01-30,80,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,30,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,26,0,0,0,0
2020-02-05,26,0,0,0,0
2020-02-06,26,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,29,0,0,0,0
2020-02-10,26,0,0,0,0
2020-02-11,26,0,0,0,0
2020-02-12,25,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,26,0,0,0,0
2020-02-18,26,0,0,0,0
2020-02-19,26,0,26,0,0
2020-02-20,51,0,0,0,0
2020-02-21,51,0,0,0,0
2020-02-22,27,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,51,0,0,0,0
2020-02-26,98,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,78,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,27,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,100,0,0,0,0
2020-03-04,25,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,25,0,0,0,0
2020-03-07,27,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,48,0,0,0,0
2020-03-10,74,0,0,0,0
2020-03-11,25,0,0,0,0
2020-03-12,24,0,0,0,0
2020-03-13,49,0,0,0,0
2020-03-14,26,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,73,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,73,0,0,0,0
2020-03-19,73,0,0,0,0
2020-03-20,24,0,0,0,0
2020-03-21,26,0,0,0,0
2020-03-22,0,0,0,0,0
2020-03-23,47,0,0,0,0
2020-03-24,49,0,0,0,0
2020-03-25,98,0,0,0,0
2020-03-26,50,0,0,0,0
2020-03-27,0,0,0,0,0
2020-03-28,26,0,0,0,0
2020-03-29,53,0,0,0,0
2020-03-30,48,0,0,0,0
2020-03-31,0,0,0,0,0
2020-04-01,25,0,0,0,0
2020-04-02,0,0,0,0,0
2020-04-03,78,0,0,0,0
2020-04-04,0,0,0,0,27
2020-04-05,0,0,0,0,0
2020-04-06,0,0,0,0,0
2020-04-07,25,0,0,0,0
2020-04-08,0,0,0,0,0
2020-04-09,24,0,0,0,0
2020-04-10,0,0,0,0,0
2020-04-11,0,0,0,0,0
2020-04-12,54,0,0,0,27
2020-04-13,50,0,0,0,0
2020-04-14,25,0,0,0,0
2020-04-15,24,0,0,0,0
2020-04-16,73,0,0,0,0
2020-04-17,49,0,0,0,0
2020-04-18,26,0,0,0,0
